facilityname,facilityid,facilitytype,capacitytype,receiptlocation,ReceiptLocationName,deliverylocation,DeliveryLocationName,capacitydescription,flowdirection,capacityquantity,effectivedate,description,LastUpdated
Kincora,544253,PROD,MDQ,-1,,-1,,,NONE,20.000,29 Aug 2019 00:00:00,,2019/08/29 16:17:08
Minerva,530043,PROD,MDQ,-1,,-1,,,NONE,0.000,09 Sep 2019 00:00:00,,2019/09/09 08:26:24
Camden,520075,PROD,MDQ,-1,,-1,,,NONE,10.000,01 Apr 2022 00:00:00,,2022/03/25 10:05:08
Dry Creek Power Station,555026,BBGPG,MDQ,-1,,-1,,,NONE,77.000,08 Jun 2023 00:00:00,Capacity quantity on the Dry Creek Connection Point,2023/06/08 16:46:19
Mintaro Power Station,555031,BBGPG,MDQ,-1,,-1,,,NONE,32.300,08 Jun 2023 00:00:00,Capacity quantity on the Mintaro Connection Point,2023/06/08 16:46:19
Pelican Point Power Station,555089,BBGPG,MDQ,-1,,-1,,,NONE,140.000,08 Jun 2023 00:00:00,Capacity quantity on the Pelican Point Connection Point,2023/06/08 16:34:46
Bomaderry Gas Pipeline,523202,PIPE,MDQ,1290103,Bomaderry Receipt,1290104,Shoalhaven Starches Cogeneration Plant,"Fully contracted of the Pipeline, owner of capacity and owner of the gas",NONE,42.000,09 Jun 2023 00:00:00,Initial nameplate rating provided on registration,2023/06/09 09:09:22
Shoalhaven Starches Cogeneration Plant,523203,BBLARGE,MDQ,-1,,-1,,,NONE,23.000,09 Jun 2023 00:00:00,Initial nameplate rating provided on registration,2023/06/09 09:09:22
Barker Inlet Power Station,555088,BBGPG,MDQ,-1,,-1,,,NONE,165.000,17 Aug 2023 00:00:00,NamePlate Rating provided on registration,2023/08/17 11:40:09
Bell Bay CCGT,577016,BBGPG,MDQ,-1,,-1,,,NONE,40.400,17 Aug 2023 00:00:00,NamePlate Rating provided on registration,2023/08/17 11:31:58
Bell Bay GGT,577014,BBGPG,MDQ,-1,,-1,,,NONE,37.600,17 Aug 2023 00:00:00,NamePlate Rating provided on registration,2023/08/17 11:31:43
Bell Bay OCGT,577015,BBGPG,MDQ,-1,,-1,,,NONE,15.000,17 Aug 2023 00:00:00,NamePlate Rating provided on registration,2023/08/17 11:31:51
Braemar 2 Power Station,544085,BBGPG,MDQ,-1,,-1,,,NONE,150.000,17 Aug 2023 00:00:00,NamePlate Rating provided on registration,2023/08/17 11:20:14
Queensland Aluminia,544012,BBLARGE,MDQ,-1,,-1,,,NONE,54.020,17 Aug 2023 00:00:00,NamePlate Rating provided on registration,2023/08/17 10:17:13
Somerton,533174,BBGPG,MDQ,-1,,-1,,,NONE,99.800,17 Aug 2023 00:00:00,NamePlate Rating provided on registration,2023/08/17 09:53:02
Swanbank Power Station,544104,BBGPG,MDQ,-1,,-1,,,NONE,107.400,17 Aug 2023 00:00:00,NamePlate Rating provided on registration,2023/08/17 11:21:46
Torrens Island PS,555041,BBGPG,MDQ,-1,,-1,,,NONE,303.000,17 Aug 2023 00:00:00,NamePlate Rating provided on registration,2023/08/17 11:22:40
Yelcherr,580180,PROD,MDQ,-1,,-1,,,NONE,108.000,11 Sep 2023 00:00:00,No change,2023/09/11 18:18:07
Colongra,523120,BBGPG,MDQ,-1,,-1,,,NONE,78.000,15 Nov 2023 00:00:00,Initial submission,2023/11/15 09:29:16
Laverton,533201,BBGPG,MDQ,-1,,-1,,,NONE,100.000,15 Nov 2023 00:00:00,Initial submission,2023/11/15 09:29:16
Valley Power GPG,535024,BBGPG,MDQ,-1,,-1,,,NONE,115.200,15 Nov 2023 00:00:00,Initial submission,2023/11/15 09:29:16
McArthur River Mine,580220,BBGPG,MDQ,-1,,-1,,,NONE,15.000,04 Dec 2023 00:00:00,Initial submission,2023/12/04 08:16:11
Mereenie,580040,PROD,MDQ,-1,,-1,,,NONE,55.000,07 Mar 2024 00:00:00,Update name plate capacity,2024/03/07 11:05:40
Palm Valley,580060,PROD,MDQ,-1,,-1,,,NONE,15.000,07 Mar 2024 00:00:00,Update name plate capacity,2024/03/07 11:05:40
ICF,530071,COMPRESSOR,MDQ,-1,,-1,,Maximum Compression capacity,NONE,230.000,18 Mar 2024 00:00:00,Same nameplate rating capacity,2024/03/18 10:27:13
Iona UGS,530042,STOR,MDQ,-1,,-1,,,DELIVERY,570.000,18 Mar 2024 00:00:00,Same nameplate rating capacity,2024/03/18 10:27:21
Iona UGS,530042,STOR,MDQ,-1,,-1,,,RECEIPT,155.000,18 Mar 2024 00:00:00,Same nameplate rating capacity,2024/03/18 10:27:21
Iona UGS,530042,STOR,STORAGE,-1,,-1,,,NONE,24400.000,18 Mar 2024 00:00:00,Same nameplate rating capacity,2024/03/18 10:27:21
Viva Energy Refinery,535018,BBLARGE,MDQ,-1,,-1,,,NONE,22.440,19 Mar 2024 00:00:00,Viva Energy AEMO Requirements 09Mar2023,2024/03/19 09:21:39
Channel Island Power Station,580231,BBGPG,MDQ,-1,,-1,,,NONE,53.500,09 May 2024 00:00:00,Initial Submission,2024/05/09 09:56:59
Katherine Power Station,580233,BBGPG,MDQ,-1,,-1,,,NONE,10.400,09 May 2024 00:00:00,Initial Submission,2024/05/09 10:26:48
Owen Springs Power Station,580235,BBGPG,MDQ,-1,,-1,,,NONE,90.000,09 May 2024 00:00:00,Initial Submission,2024/05/09 10:34:48
Ron Goodin Power Station,580234,BBGPG,MDQ,-1,,-1,,,NONE,40.000,09 May 2024 00:00:00,Initial Submission,2024/05/09 10:33:07
Weddell Power Station,580232,BBGPG,MDQ,-1,,-1,,,NONE,33.000,09 May 2024 00:00:00,Initial Submission,2024/05/09 09:58:45
Australia Pacific LNG,544273,LNGEXPORT,MDQ,-1,,-1,,,PROCESSED,1591.000,19 Aug 2024 00:00:00,2023 Name Plate Capacity  ,2024/08/19 11:30:26
Qenos,533203,BBLARGE,MDQ,-1,,-1,,,NONE,0.000,04 Mar 2025 00:00:00,No Change,2025/03/04 11:34:30
Qenos (Botany),523207,BBLARGE,MDQ,-1,,-1,,,NONE,6.000,04 Mar 2025 00:00:00,No Change,2025/03/04 11:34:30
