FacilityId,FacilityName,CapacityType,CapacityTypeDescription,FlowDirection,GasDate,OutlookQuantity,Description,CapacityDescription,ReceiptLocation,ReceiptLocationName,DeliveryLocation,DeliveryLocationName,LastUpdated
580100,MRP,MDQ,Daily maximum firm capacity under the expected operating conditions,NONE,2026/09/30,15.000,Forward Haul Capacity,Forward Haul Capacity,1808026,Daly Waters Scrap Station on the AGP,1808069,McArthur River Mine Delivery Point,2026/05/09 09:31:33
580100,MRP,MDQ,Daily maximum firm capacity under the expected operating conditions,NONE,2026/09/29,15.000,Forward Haul Capacity,Forward Haul Capacity,1808026,Daly Waters Scrap Station on the AGP,1808069,McArthur River Mine Delivery Point,2026/05/09 09:31:33
580100,MRP,MDQ,Daily maximum firm capacity under the expected operating conditions,NONE,2026/09/28,15.000,Forward Haul Capacity,Forward Haul Capacity,1808026,Daly Waters Scrap Station on the AGP,1808069,McArthur River Mine Delivery Point,2026/05/09 09:31:33
580100,MRP,MDQ,Daily maximum firm capacity under the expected operating conditions,NONE,2026/09/27,15.000,Forward Haul Capacity,Forward Haul Capacity,1808026,Daly Waters Scrap Station on the AGP,1808069,McArthur River Mine Delivery Point,2026/05/09 09:31:33
580100,MRP,MDQ,Daily maximum firm capacity under the expected operating conditions,NONE,2026/09/26,15.000,Forward Haul Capacity,Forward Haul Capacity,1808026,Daly Waters Scrap Station on the AGP,1808069,McArthur River Mine Delivery Point,2026/05/09 09:31:33
580100,MRP,MDQ,Daily maximum firm capacity under the expected operating conditions,NONE,2026/09/25,15.000,Forward Haul Capacity,Forward Haul Capacity,1808026,Daly Waters Scrap Station on the AGP,1808069,McArthur River Mine Delivery Point,2026/05/09 09:31:33
580100,MRP,MDQ,Daily maximum firm capacity under the expected operating conditions,NONE,2026/09/24,15.000,Forward Haul Capacity,Forward Haul Capacity,1808026,Daly Waters Scrap Station on the AGP,1808069,McArthur River Mine Delivery Point,2026/05/09 09:31:33
580100,MRP,MDQ,Daily maximum firm capacity under the expected operating conditions,NONE,2026/09/23,15.000,Forward Haul Capacity,Forward Haul Capacity,1808026,Daly Waters Scrap Station on the AGP,1808069,McArthur River Mine Delivery Point,2026/05/09 09:31:33
580100,MRP,MDQ,Daily maximum firm capacity under the expected operating conditions,NONE,2026/09/22,15.000,Forward Haul Capacity,Forward Haul Capacity,1808026,Daly Waters Scrap Station on the AGP,1808069,McArthur River Mine Delivery Point,2026/05/09 09:31:33
580100,MRP,MDQ,Daily maximum firm capacity under the expected operating conditions,NONE,2026/09/21,15.000,Forward Haul Capacity,Forward Haul Capacity,1808026,Daly Waters Scrap Station on the AGP,1808069,McArthur River Mine Delivery Point,2026/05/09 09:31:33
580100,MRP,MDQ,Daily maximum firm capacity under the expected operating conditions,NONE,2026/09/20,15.000,Forward Haul Capacity,Forward Haul Capacity,1808026,Daly Waters Scrap Station on the AGP,1808069,McArthur River Mine Delivery Point,2026/05/09 09:31:33
580100,MRP,MDQ,Daily maximum firm capacity under the expected operating conditions,NONE,2026/09/19,15.000,Forward Haul Capacity,Forward Haul Capacity,1808026,Daly Waters Scrap Station on the AGP,1808069,McArthur River Mine Delivery Point,2026/05/09 09:31:33
580100,MRP,MDQ,Daily maximum firm capacity under the expected operating conditions,NONE,2026/09/18,15.000,Forward Haul Capacity,Forward Haul Capacity,1808026,Daly Waters Scrap Station on the AGP,1808069,McArthur River Mine Delivery Point,2026/05/09 09:31:33
580100,MRP,MDQ,Daily maximum firm capacity under the expected operating conditions,NONE,2026/09/17,15.000,Forward Haul Capacity,Forward Haul Capacity,1808026,Daly Waters Scrap Station on the AGP,1808069,McArthur River Mine Delivery Point,2026/05/09 09:31:33
580100,MRP,MDQ,Daily maximum firm capacity under the expected operating conditions,NONE,2026/09/16,15.000,Forward Haul Capacity,Forward Haul Capacity,1808026,Daly Waters Scrap Station on the AGP,1808069,McArthur River Mine Delivery Point,2026/05/09 09:31:33
580100,MRP,MDQ,Daily maximum firm capacity under the expected operating conditions,NONE,2026/09/15,15.000,Forward Haul Capacity,Forward Haul Capacity,1808026,Daly Waters Scrap Station on the AGP,1808069,McArthur River Mine Delivery Point,2026/05/09 09:31:33
580100,MRP,MDQ,Daily maximum firm capacity under the expected operating conditions,NONE,2026/09/14,15.000,Forward Haul Capacity,Forward Haul Capacity,1808026,Daly Waters Scrap Station on the AGP,1808069,McArthur River Mine Delivery Point,2026/05/09 09:31:33
580100,MRP,MDQ,Daily maximum firm capacity under the expected operating conditions,NONE,2026/09/13,15.000,Forward Haul Capacity,Forward Haul Capacity,1808026,Daly Waters Scrap Station on the AGP,1808069,McArthur River Mine Delivery Point,2026/05/09 09:31:33
580100,MRP,MDQ,Daily maximum firm capacity under the expected operating conditions,NONE,2026/09/12,15.000,Forward Haul Capacity,Forward Haul Capacity,1808026,Daly Waters Scrap Station on the AGP,1808069,McArthur River Mine Delivery Point,2026/05/09 09:31:33
580100,MRP,MDQ,Daily maximum firm capacity under the expected operating conditions,NONE,2026/09/11,15.000,Forward Haul Capacity,Forward Haul Capacity,1808026,Daly Waters Scrap Station on the AGP,1808069,McArthur River Mine Delivery Point,2026/05/09 09:31:33
