Name,From,To,Capacity,Cost
MSP,Moomba,Sydney,565,1.3992
MAPS,Moomba,Adelaide,249,0.974
SWQP,Moomba,Surat,365,1.5265
SWQP_Rev,Surat,Moomba,512,1.5265
APLNG_Pipe,Surat,APLNG,1760,0.7842
GLNG_Pipe,Surat,GLNG,1430,0.754
WGP_Pipe,Surat,QCLNG,1598,1.4171
RBP,Surat,Brisbane,167,0.7005
QGP,Surat,Gladstone,145,1.2532
EGP,Gippsland,Sydney,350,1.5841
VNI,Melbourne,Sydney,223,1.4013
SEA_Gas,Melbourne,Adelaide,250,1.103
Longford,Gippsland,Melbourne,1114,0.6965
SWP,Iona,Melbourne,570,0.6965
VGP,Gippsland,Iona,200,0.6965
MSP_Rev,Sydney,Moomba,195,1.3992
VNI_Rev,Sydney,Melbourne,195,1.4013
PK2SYD,Port_Kembla,Sydney,500,0.1775
SYD2PK,Sydney,Port_Kembla,100,0.1775
SS2Surat,Silver_Springs,Surat,150,0.0506
Surat2SS,Surat,Silver_Springs,150,0.0506
AGP_S,Amadeus,Tennant_Creek,166,0.1624
AGP_N,Tennant_Creek,Daly_Waters,166,0.1022
AGP_DW,Daly_Waters,Darwin,166,0.1354
Beetaloo_Pipe,Beetaloo,Daly_Waters,40,0.095
NGP,Tennant_Creek,Moomba,65,3.23
NGP_Rev,Moomba,Tennant_Creek,0,0.8722
EGP_Rev,Sydney,Gippsland,0,0.6
SEA_Gas_Rev,Adelaide,Melbourne,0,0.4
Bulloo,Surat,Moomba,0,0.25
GEE2MEL,Geelong,Melbourne,750,0.1024
NEAP,Beetaloo,Surat,0,0.73
BGP,Blacktip,Darwin,108,0.3615
PLLP,Bass,Melbourne,67,0.7535
HGP,Narrabri,Sydney,0,0.175
