Day,Node,Demand
272,APLNG,3680.2110000000002
272,Adelaide,58.37
272,Brisbane,75.221
272,Melbourne,465.865
272,Sydney,212.858
273,APLNG,3597.997
273,Adelaide,47.922
273,Brisbane,78.249
273,Melbourne,416.269
273,Sydney,209.197
274,APLNG,3639.554
274,Adelaide,47.321999999999996
274,Brisbane,81.446
274,Melbourne,371.03
274,Sydney,193.249
275,APLNG,3814.897
275,Adelaide,52.394000000000005
275,Brisbane,80.536
275,Melbourne,280.121
275,Sydney,224.066
276,APLNG,3714.55
276,Adelaide,60.885000000000005
276,Brisbane,63.401
276,Melbourne,319.999
276,Sydney,222.614
277,APLNG,3650.3289999999997
277,Adelaide,68.172
277,Brisbane,56.121
277,Melbourne,434.715
277,Sydney,246.399
278,APLNG,3651.596
278,Adelaide,60.751
278,Brisbane,49.027
278,Melbourne,331.931
278,Sydney,264.568
279,APLNG,3670.09
279,Adelaide,49.518
279,Brisbane,40.249
279,Melbourne,240.52
279,Sydney,226.55599999999998
280,APLNG,3935.185
280,Adelaide,43.937
280,Brisbane,40.984
280,Melbourne,210.212
280,Sydney,221.685
281,APLNG,3561.512
281,Adelaide,54.633
281,Brisbane,52.405
281,Melbourne,215.261
281,Sydney,236.90099999999998
282,APLNG,3328.374
282,Adelaide,65.051
282,Brisbane,52.983
282,Melbourne,312.597
282,Sydney,222.889
283,APLNG,3682.951
283,Adelaide,67.675
283,Brisbane,53.12
283,Melbourne,409.11
283,Sydney,255.011
284,APLNG,3567.247
284,Adelaide,59.833
284,Brisbane,55.577
284,Melbourne,332.966
284,Sydney,255.779
285,APLNG,3561.373
285,Adelaide,51.82
285,Brisbane,52.394
285,Melbourne,270.326
285,Sydney,250.192
286,APLNG,3417.0
286,Adelaide,42.422
286,Brisbane,46.458
286,Melbourne,209.604
286,Sydney,214.434
287,APLNG,3584.017
287,Adelaide,44.378
287,Brisbane,49.098
287,Melbourne,185.144
287,Sydney,198.85899999999998
288,APLNG,3398.645
288,Adelaide,52.754999999999995
288,Brisbane,60.888
288,Melbourne,201.784
288,Sydney,229.701
289,APLNG,3268.901
