Node,Capacity,Cost,IsPotential,DeclineRate,EndYear,Tranche,Reserves_PJ,AEMOFullCost
Surat,4000,3.65,False,-0.01,,2P,28910.917,3.65
Moomba,400,8.45,False,-0.03,,2P,850.153,8.45
Gippsland,766,5.16,False,-0.12,,2P,1108.089,5.16
Iona,350,7.27,False,0.0,,2P,303.549,7.27
Amadeus,55,6.5,False,-0.03,,2P,230.016,6.5
Blacktip,15,8.0,False,-0.1,2035.0,,,8.0
Surat,3220,3.65,True,0.0,,2C,23270.042,6.65
Gippsland,500,5.16,True,0.0,,2C,1992.63,15.76
Iona,52,7.27,True,0.0,,2C,292.659,15.62
Moomba,282,8.45,True,0.0,,2C,1602.672,11.63
Amadeus,47,6.5,True,0.0,,2C,195.4,16.94
Beetaloo,515,9.15,True,0.0,,2C,5109.1,9.15
Port_Kembla,500,14.0,True,0.0,,,,14.0
Geelong,750,14.0,True,0.0,,,,14.0
Adelaide,422,14.0,True,0.0,,,,14.0
